"ticker","company","price","date"
PORT,East African Portland Cement Co. Ltd,16.00,2020-10-19 00:00:00
SASN,Sasini Tea and Coffee Limited,19.00,2020-10-19 00:00:00
SCAN,ScanGroup Limited,6.82,2020-10-19 00:00:00
SCBK,Standard Chartered Bank Limited,159.50,2020-10-19 00:00:00
SCOM,Safaricom Limited,30.10,2020-10-19 00:00:00
SGL,Standard Group Limited,18.10,2020-10-19 00:00:00
TCL,Trans Century Limited,1.58,2020-10-19 00:00:00
TOTL,Total Kenya Limited,22.80,2020-10-19 00:00:00
TPSE,TPS Eastern Africa (Serena) Limited,16.00,2020-10-19 00:00:00
UCHM,Uchumi Supermarket Limited,0.30,2020-10-19 00:00:00
UMME,Umeme Limited,7.00,2020-10-19 00:00:00
UNGA,Unga Group Limited,30.65,2020-10-19 00:00:00
WTK,Williamson Tea Kenya Limited,139.00,2020-10-19 00:00:00
XPRS,Express Kenya Limited,4.50,2020-10-19 00:00:00
